latitude,longitude,acq_date,acq_time,satellite,confidence
-26.7559,-54.8668,2000-12-06,1359,Terra,50
-26.9261,-54.8368,2000-12-06,1400,Terra,70
-26.9277,-54.8264,2000-12-06,1400,Terra,78
-25.2872,-63.9191,2000-12-06,1400,Terra,60
-25.2958,-63.8805,2000-12-06,1400,Terra,50
-25.2994,-63.8892,2000-12-06,1400,Terra,49
-28.1361,-57.5202,2000-12-06,1400,Terra,65
-28.5394,-58.3796,2000-12-06,1400,Terra,83
-28.8482,-60.8081,2000-12-06,1400,Terra,29
-28.8522,-60.7877,2000-12-06,1400,Terra,54
-28.8534,-60.7939,2000-12-06,1400,Terra,68
-29245,-61932,2000-12-06,1400,Terra,79
-29.2499,-61.9082,2000-12-06,1400,Terra,91
-29.2582,-61.9356,2000-12-06,1400,Terra,75
-29.2631,-61.9118,2000-12-06,1400,Terra,100
-29.2708,-61.9209,2000-12-06,1400,Terra,88
-29.2758,-61.8972,2000-12-06,1400,Terra,28
-34.9204,-61.0637,2000-12-06,1402,Terra,73
-35.5999,-60.5977,2000-12-06,1402,Terra,60
-35.5927,-60.6017,2000-12-06,1402,Terra,67
-35.9484,-60369,2000-12-06,1402,Terra,65
-39.6803,-65.3801,2000-12-07,342,Terra,37
-39.6825,-65.3931,2000-12-07,342,Terra,100
-39673,-65.3957,2000-12-07,342,Terra,78
-38.8127,-64.1955,2000-12-07,342,Terra,100
-38.8059,-64.2031,2000-12-07,342,Terra,100
-38.8085,-64.2178,2000-12-07,342,Terra,100
-38.8111,-64.2325,2000-12-07,342,Terra,79
-38801,-64.2353,2000-12-07,342,Terra,100
-38.8036,-64.25,2000-12-07,342,Terra,89
-38.7626,-64.1386,2000-12-07,342,Terra,21
-38.7525,-64.1415,2000-12-07,342,Terra,100
-38.7551,-64.1562,2000-12-07,342,Terra,100
-38.7578,-64.1709,2000-12-07,342,Terra,58
-38.7604,-64.1854,2000-12-07,342,Terra,68
-38.7397,-64.1296,2000-12-07,342,Terra,100
-38.7424,-64.1444,2000-12-07,342,Terra,100
-38745,-64.1591,2000-12-07,342,Terra,100
-38.7477,-64.1738,2000-12-07,342,Terra,90
-37.0137,-65.1499,2000-12-07,342,Terra,46
-37.0161,-65.1638,2000-12-07,342,Terra,74
-36.4692,-66.1698,2000-12-07,342,Terra,100
-36.4653,-66164,2000-12-07,342,Terra,39
-36.4674,-66.1767,2000-12-07,342,Terra,53
-36.4462,-66169,2000-12-07,342,Terra,59
-36.4384,-66.4202,2000-12-07,342,Terra,81
-36.4404,-66.4326,2000-12-07,342,Terra,53
-36.4289,-66.4226,2000-12-07,342,Terra,65
-36.4413,-66497,2000-12-07,342,Terra,40
-36.4433,-66.5093,2000-12-07,342,Terra,84
-36.4298,-66.4871,2000-12-07,342,Terra,32
-36.4318,-66.4994,2000-12-07,342,Terra,100
-36.4339,-66.5118,2000-12-07,342,Terra,100
-36.3944,-66.2939,2000-12-07,342,Terra,57
-36.3964,-66.3065,2000-12-07,342,Terra,60
-36427,-66.4936,2000-12-07,342,Terra,96
-36.4291,-66.5059,2000-12-07,342,Terra,100
-36.4196,-66.5084,2000-12-07,342,Terra,92
-36.4102,-66.5108,2000-12-07,342,Terra,72
-36.4984,-67.5258,2000-12-07,342,Terra,100
-36.4892,-67528,2000-12-07,342,Terra,100
-36.4801,-67.5303,2000-12-07,342,Terra,100
-36.4691,-67.5209,2000-12-07,342,Terra,100
-36.4709,-67.5325,2000-12-07,342,Terra,100
-36.46,-67.5231,2000-12-07,342,Terra,83
-36.4618,-67.5347,2000-12-07,342,Terra,26
-36.4508,-67.5254,2000-12-07,342,Terra,86
-36.4417,-67.5276,2000-12-07,342,Terra,100
-36.4325,-67.5298,2000-12-07,342,Terra,100
-36.4343,-67.5414,2000-12-07,342,Terra,91
-36.4234,-67.5321,2000-12-07,342,Terra,62
-36.1244,-67.2101,2000-12-07,343,Terra,94
-36.1263,-67.2219,2000-12-07,343,Terra,100
-36.1151,-67.2124,2000-12-07,343,Terra,99
-36117,-67.2242,2000-12-07,343,Terra,100
-36.1059,-67.2147,2000-12-07,343,Terra,100
-36.1078,-67.2265,2000-12-07,343,Terra,100
-36.0966,-67217,2000-12-07,343,Terra,100
-36.0985,-67.2288,2000-12-07,343,Terra,100
-35.7775,-67018,2000-12-07,343,Terra,54
-35.8317,-67.5132,2000-12-07,343,Terra,95
-35.8226,-67.5154,2000-12-07,343,Terra,87
-34.5173,-66.9237,2000-12-07,343,Terra,62
-34.1984,-68.4017,2000-12-07,343,Terra,94
-34.2001,-68.4129,2000-12-07,343,Terra,63
-34.1893,-68.4038,2000-12-07,343,Terra,59
-34.1659,-68.3743,2000-12-07,343,Terra,67
-34155,-68.3652,2000-12-07,343,Terra,31
-34.1567,-68.3764,2000-12-07,343,Terra,93
-32.7105,-65.0603,2000-12-07,343,Terra,21
-23.3884,-64183,2000-12-07,346,Terra,81
-23.3937,-64209,2000-12-07,346,Terra,95
-23.3853,-64.1892,2000-12-07,346,Terra,95
-23.3904,-64.2152,2000-12-07,346,Terra,78
-22.1799,-63.3423,2000-12-07,1441,Terra,39
-22.2157,-63473,2000-12-07,1441,Terra,47
-22.4397,-63.6987,2000-12-07,1442,Terra,31
-22.4638,-63.7227,2000-12-07,1442,Terra,35
-22.7112,-63.6082,2000-12-07,1442,Terra,48
-22.7127,-63.5985,2000-12-07,1442,Terra,85
-22.8551,-63.7547,2000-12-07,1442,Terra,48
-22.8788,-64.0251,2000-12-07,1442,Terra,50
-23.2659,-64.2084,2000-12-07,1442,Terra,12
-23.3905,-64.0509,2000-12-07,1442,Terra,73
-23.3862,-64.2015,2000-12-07,1442,Terra,77
-23.3877,-64.1916,2000-12-07,1442,Terra,75
-25.0102,-59022,2000-12-07,1442,Terra,37
-25.8618,-54.3778,2000-12-07,1442,Terra,26
-25.1254,-62.8172,2000-12-07,1442,Terra,87
-25.1268,-62.8071,2000-12-07,1442,Terra,96
-25.1282,-62797,2000-12-07,1442,Terra,89
-25.1296,-62.7868,2000-12-07,1442,Terra,89
-25.1336,-62.8147,2000-12-07,1442,Terra,80
-25147,-62.7858,2000-12-07,1442,Terra,72
-25.3687,-62.9799,2000-12-07,1442,Terra,70
-25.2239,-64.0456,2000-12-07,1442,Terra,76
-25.2911,-63.9012,2000-12-07,1442,Terra,85
-26.2794,-60.6417,2000-12-07,1442,Terra,48
-25.8522,-64.7694,2000-12-07,1442,Terra,68
-26.0342,-64.3533,2000-12-07,1443,Terra,98
-26.0417,-64.3648,2000-12-07,1443,Terra,75
-26.0432,-64.3549,2000-12-07,1443,Terra,100
-26.5447,-61.2111,2000-12-07,1443,Terra,59
-26.9025,-58.6809,2000-12-07,1443,Terra,58
-26.7917,-60.4411,2000-12-07,1443,Terra,48
-26.5579,-62.8805,2000-12-07,1443,Terra,52
-26.5671,-62.8821,2000-12-07,1443,Terra,58
-27.0694,-65.1864,2000-12-07,1443,Terra,65
-27.5251,-62.04,2000-12-07,1443,Terra,53
-27.9605,-60.8326,2000-12-07,1443,Terra,66
-27.5427,-64.1049,2000-12-07,1443,Terra,70
-27.6348,-64.1688,2000-12-07,1443,Terra,77
-28002,-64.3011,2000-12-07,1443,Terra,70
-28.5969,-62.2792,2000-12-07,1443,Terra,24
-29.2162,-57447,2000-12-07,1443,Terra,64
-29.0322,-61.1192,2000-12-07,1443,Terra,66
-29.1968,-60.7595,2000-12-07,1443,Terra,27
-29607,-62.2272,2000-12-07,1443,Terra,49
-29.6405,-62.3726,2000-12-07,1443,Terra,52
-31.4339,-62.0831,2000-12-07,1444,Terra,49
-32.2667,-67.5616,2000-12-07,1444,Terra,37
-35.1823,-65.3831,2000-12-07,1445,Terra,49
-35.5097,-67255,2000-12-07,1445,Terra,50
-35.5114,-67.2439,2000-12-07,1445,Terra,96
-35.5187,-67257,2000-12-07,1445,Terra,53
-35.5204,-67.2459,2000-12-07,1445,Terra,43
-35.5471,-67247,2000-12-07,1445,Terra,71
-35.7597,-66.9981,2000-12-07,1445,Terra,86
-35.7687,-67.0001,2000-12-07,1445,Terra,87
-35.7704,-66989,2000-12-07,1445,Terra,80
-35.7777,-67.0021,2000-12-07,1445,Terra,89
-35.7794,-66991,2000-12-07,1445,Terra,44
-35.7784,-67.0594,2000-12-07,1445,Terra,71
-35.7801,-67.0483,2000-12-07,1445,Terra,96
-35.7165,-67.5278,2000-12-07,1445,Terra,100
-35.7255,-67.5298,2000-12-07,1445,Terra,100
-36.08,-67.2027,2000-12-07,1445,Terra,66
-36.1067,-67.2037,2000-12-07,1445,Terra,99
-36.1084,-67.1926,2000-12-07,1445,Terra,48
-36.1124,-67228,2000-12-07,1445,Terra,84
-36.1158,-67.2057,2000-12-07,1445,Terra,95
-36.1174,-67.1946,2000-12-07,1445,Terra,59
-36.1214,-67.23,2000-12-07,1445,Terra,96
-36.1231,-67.2189,2000-12-07,1445,Terra,71
-36.1248,-67.2078,2000-12-07,1445,Terra,89
-36.1321,-67.2209,2000-12-07,1445,Terra,97
-36.1338,-67.2098,2000-12-07,1445,Terra,91
-36.3356,-66.2032,2000-12-07,1445,Terra,100
-36.3372,-66192,2000-12-07,1445,Terra,100
-36.3387,-66.1808,2000-12-07,1445,Terra,95
-36.3403,-66.1696,2000-12-07,1445,Terra,75
-36.3462,-66.1939,2000-12-07,1445,Terra,99
-36.3478,-66.1827,2000-12-07,1445,Terra,86
-36.3494,-66.1715,2000-12-07,1445,Terra,87
-36.3584,-66.1734,2000-12-07,1445,Terra,81
-36.36,-66.1622,2000-12-07,1445,Terra,55
-36369,-66.1641,2000-12-07,1445,Terra,78
-36.3781,-66166,2000-12-07,1445,Terra,66
-36.3824,-66.2016,2000-12-07,1445,Terra,42
-36.3871,-66.1679,2000-12-07,1445,Terra,77
-36.3755,-66.3156,2000-12-07,1445,Terra,96
-36.3946,-66.1811,2000-12-07,1445,Terra,35
-36.3962,-66.1698,2000-12-07,1445,Terra,83
-36.3845,-66.3175,2000-12-07,1445,Terra,73
-36.4053,-66.1717,2000-12-07,1445,Terra,39
-36.4068,-66.1605,2000-12-07,1445,Terra,70
-36.3952,-66.3082,2000-12-07,1445,Terra,71
-36.4196,-66.1929,2000-12-07,1445,Terra,92
-36.4227,-66.1704,2000-12-07,1445,Terra,53
-36.4286,-66.1948,2000-12-07,1445,Terra,100
-36.4318,-66.1723,2000-12-07,1445,Terra,32
-36.4377,-66.1967,2000-12-07,1445,Terra,74
-36.4393,-66.1855,2000-12-07,1445,Terra,67
-36.4483,-66.1874,2000-12-07,1445,Terra,89
-36.4574,-66.1893,2000-12-07,1445,Terra,82
-36468,-66.18,2000-12-07,1445,Terra,64
-36.4291,-66.5179,2000-12-07,1445,Terra,66
-36.4382,-66.5199,2000-12-07,1445,Terra,36
-36.3974,-67542,2000-12-07,1445,Terra,47
-36.4042,-67.5501,2000-12-07,1445,Terra,37
-36424,-67543,2000-12-07,1445,Terra,85
-36.4799,-67.5443,2000-12-07,1445,Terra,37
-36.4889,-67.5464,2000-12-07,1445,Terra,84
-37.0004,-65.1758,2000-12-07,1445,Terra,46
-37.0097,-65.1776,2000-12-07,1445,Terra,84
-37.0113,-65.1657,2000-12-07,1445,Terra,88
-37.0163,-65.1727,2000-12-07,1445,Terra,61
-37.0179,-65.1607,2000-12-07,1445,Terra,81
-38.1603,-63.7821,2000-12-07,1446,Terra,100
-38.1619,-63.7681,2000-12-07,1446,Terra,97
-38.1703,-63.7839,2000-12-07,1446,Terra,100
-38.1719,-63.7699,2000-12-07,1446,Terra,100
-38.1802,-63.7856,2000-12-07,1446,Terra,100
-38.1819,-63.7716,2000-12-07,1446,Terra,100
-38.1852,-63.8291,2000-12-07,1446,Terra,54
-38.1869,-63.8152,2000-12-07,1446,Terra,90
-38186,-63.8215,2000-12-07,1446,Terra,86
-38.1959,-63.8233,2000-12-07,1446,Terra,81
-38.1975,-63.8093,2000-12-07,1446,Terra,81
-38.2039,-63.7533,2000-12-07,1446,Terra,41
-38.2055,-63.7392,2000-12-07,1446,Terra,57
-38.2074,-63.8111,2000-12-07,1446,Terra,55
-38.2138,-63755,2000-12-07,1446,Terra,72
-38.0886,-64.8868,2000-12-07,1446,Terra,95
-38.0902,-64.8742,2000-12-07,1446,Terra,100
-38.0918,-64.8615,2000-12-07,1446,Terra,34
-38.2222,-63.7708,2000-12-07,1446,Terra,64
-38.0996,-64876,2000-12-07,1446,Terra,90
-38.4986,-64.0106,2000-12-07,1446,Terra,66
-38.7251,-64.1557,2000-12-07,1446,Terra,73
-38.7267,-64.1419,2000-12-07,1446,Terra,74
-38.7283,-64.1281,2000-12-07,1446,Terra,52
-38.7299,-64.1143,2000-12-07,1446,Terra,64
-38.7315,-64.1004,2000-12-07,1446,Terra,44
-38.7334,-64.1713,2000-12-07,1446,Terra,100
-38735,-64.1575,2000-12-07,1446,Terra,100
