latitude,longitude,acq_date,acq_time,confidence
-17.9702,130.8937,11/1/2000,155,100
-18.824,138.1195,11/1/2000,155,73
-17.9725,130.8425,11/1/2000,155,98
-17.9739,130.8524,11/1/2000,155,100
-17.9753,130.8624,11/1/2000,155,100
-17.9766,130.8724,11/1/2000,155,66
-17.9776,130.8113,11/1/2000,155,100
-17.9789,130.8213,11/1/2000,155,100
-17.9803,130.8312,11/1/2000,155,95
-17.9831,130.8511,11/1/2000,155,76
-17.984,130.7901,11/1/2000,155,95
-17.9854,130.8001,11/1/2000,155,77
-17.9868,130.81,11/1/2000,155,87
-17.9882,130.8199,11/1/2000,155,81
-17.9896,130.8298,11/1/2000,155,59
-17.9932,130.7888,11/1/2000,155,60
-18.0206,130.799,11/1/2000,155,83
-18.0247,130.8288,11/1/2000,155,41
-18.9312,138.2942,11/1/2000,155,79
-18.9343,138.3264,11/1/2000,155,45
-18.9468,138.2925,11/1/2000,155,82
-18.95,138.3247,11/1/2000,155,99
-17.79,128.879,11/1/2000,155,34
-18.9625,138.2908,11/1/2000,155,88
-18.9656,138.323,11/1/2000,155,100
-17.799,128.8775,11/1/2000,155,100
-17.8004,128.8869,11/1/2000,155,79
-17.8032,128.9058,11/1/2000,155,42
-17.8046,128.9152,11/1/2000,155,84
-18.9781,138.2892,11/1/2000,155,35
-18.9906,138.2558,11/1/2000,155,66
-18.9938,138.2878,11/1/2000,155,47
-17.8234,128.8575,11/1/2000,155,52
-18.9569,138.2842,11/1/2000,155,46
-18.9599,138.3165,11/1/2000,155,100
-18.9628,138.3489,11/1/2000,155,61
-18.9755,138.3148,11/1/2000,155,78
-17.8513,128.9206,11/1/2000,155,66
-18.9852,138.2492,11/1/2000,155,47
-18.9882,138.2811,11/1/2000,155,76
-17.6841,126.8713,11/1/2000,155,51
-18.0454,128.9254,11/1/2000,155,88
-18.071,128.9117,11/1/2000,155,61
-18.0822,128.987,11/1/2000,155,65
-18.0912,128.9856,11/1/2000,155,59
-18.2945,128.867,11/1/2000,155,68
-18.2959,128.8764,11/1/2000,155,72
-18.3591,128.9918,11/1/2000,155,82
-18.3605,129.0012,11/1/2000,155,83
-18.3667,128.9809,11/1/2000,155,51
-18.3681,128.9904,11/1/2000,155,79
-18.3757,128.9795,11/1/2000,155,78
-18.3464,128.6002,11/1/2000,155,67
-18.3792,128.6338,11/1/2000,155,81
-18.3868,128.6229,11/1/2000,155,86
-18.3883,128.6324,11/1/2000,155,81
-18.3787,128.5073,11/1/2000,155,48
-18.4918,129.2051,11/1/2000,155,78
-18.4932,129.2145,11/1/2000,155,71
-18.4946,129.2239,11/1/2000,155,76
-18.496,129.2334,11/1/2000,155,88
-18.4974,129.2428,11/1/2000,155,51
-18.468,128.9197,11/1/2000,155,87
-18.4694,128.9291,11/1/2000,155,94
-18.4708,128.9385,11/1/2000,155,86
-18.4762,128.9123,11/1/2000,155,82
-18.4776,128.9217,11/1/2000,155,100
-18.479,128.9312,11/1/2000,155,100
-18.4852,128.9109,11/1/2000,155,83
-18.4866,128.9203,11/1/2000,155,100
-17.9723,125.298,11/1/2000,155,54
-17.9807,125.2829,11/1/2000,155,74
-18.0726,125.5404,11/1/2000,155,28
-18.0975,125.5621,11/1/2000,155,52
-18.1182,125.5583,11/1/2000,155,76
-18.1202,125.571,11/1/2000,155,81
-18.1285,125.5765,11/1/2000,155,49
-18.6558,128.6968,11/1/2000,155,64
-18.6572,128.7063,11/1/2000,155,76
-18.6619,128.6764,11/1/2000,155,43
-18.6667,128.6465,11/1/2000,155,56
-18.6714,128.6165,11/1/2000,155,43
-18.9335,128.7688,11/1/2000,155,50
-18.9411,128.7579,11/1/2000,155,100
-18.9425,128.7673,11/1/2000,155,84
-18.9439,128.7768,11/1/2000,155,48
-18.9453,128.7863,11/1/2000,155,80
-18.9486,128.7469,11/1/2000,155,70
-18.9501,128.7564,11/1/2000,155,61
-18.9813,128.7805,11/1/2000,155,78
-18.7488,126.8549,11/1/2000,155,66
-18.6019,125.3934,11/1/2000,155,87
-18.604,125.4062,11/1/2000,155,100
-18.6062,125.419,11/1/2000,155,100
-19.0314,128.0747,11/1/2000,155,90
-19.0329,128.0843,11/1/2000,155,100
-18.608,125.3659,11/1/2000,155,81
-18.6123,125.3915,11/1/2000,155,100
-18.6144,125.4044,11/1/2000,155,100
-18.6165,125.4171,11/1/2000,155,100
-19.042,128.0828,11/1/2000,155,94
-19.0435,128.0925,11/1/2000,155,93
-19.0748,128.1764,11/1/2000,155,61
-19.0763,128.186,11/1/2000,155,48
-19.0824,128.1653,11/1/2000,155,92
-18.8388,126.5322,11/1/2000,155,69
-19.1244,128.2016,11/1/2000,155,82
-19.1807,127.9678,11/1/2000,155,41
-19.1898,127.9663,11/1/2000,155,47
-21.2304,139.5274,11/1/2000,155,68
-21.234,139.5701,11/1/2000,155,75
-21.231,139.5199,11/1/2000,155,30
-21.2343,139.5629,11/1/2000,155,80
-20.3984,127.1341,11/1/2000,156,63
-20.4,127.1442,11/1/2000,156,70
-20.4459,127.1511,11/1/2000,156,91
-23.1303,131.7364,11/1/2000,156,91
-23.1319,131.7492,11/1/2000,156,100
-23.1335,131.762,11/1/2000,156,94
-23.1351,131.7748,11/1/2000,156,84
-23.1406,131.735,11/1/2000,156,60
-23.1422,131.7477,11/1/2000,156,100
-23.1438,131.7605,11/1/2000,156,74
-22.0217,121.278,11/1/2000,156,69
-22.2416,121.4608,11/1/2000,156,44
-22.2456,121.4816,11/1/2000,156,59
-22.2583,121.4788,11/1/2000,156,41
-22.7505,119.0597,11/1/2000,157,28
-22.7655,119.0565,11/1/2000,157,19
-24.412,128.4248,11/1/2000,157,88
-24.2903,127.5284,11/1/2000,157,95
-24.2918,127.5382,11/1/2000,157,98
-24.4168,128.3936,11/1/2000,157,62
-24.4235,128.3115,11/1/2000,157,41
-24.6446,127.188,11/1/2000,157,89
-23.3139,119.3224,11/1/2000,157,75
-25.0232,128.9868,11/1/2000,157,88
-25.0521,128.9927,11/1/2000,157,26
-25.1291,128.9533,11/1/2000,157,72
-25.1312,128.9005,11/1/2000,157,58
-25.1326,128.9108,11/1/2000,157,96
-25.1355,128.9313,11/1/2000,157,47
-25.1369,128.9415,11/1/2000,157,95
-25.1432,128.9196,11/1/2000,157,62
-25.2894,127.9401,11/1/2000,157,72
-25.2908,127.9501,11/1/2000,157,88
-25.2923,127.96,11/1/2000,157,93
-25.2937,127.9699,11/1/2000,157,96
-25.2984,127.9386,11/1/2000,157,100
-25.2998,127.9485,11/1/2000,157,100
-25.3013,127.9584,11/1/2000,157,94
-25.3027,127.9684,11/1/2000,157,68
-25.3279,127.826,11/1/2000,157,100
-25.3294,127.8359,11/1/2000,157,90
-25.4148,127.8553,11/1/2000,157,74
-25.0446,125.0955,11/1/2000,157,85
-25.0542,125.0937,11/1/2000,157,73
-25.0643,125.0153,11/1/2000,157,80
-25.1969,124.9588,11/1/2000,157,61
-25.2563,125.0587,11/1/2000,157,80
-25.2582,125.07,11/1/2000,157,80
-25.2659,125.0569,11/1/2000,157,100
-25.2678,125.0682,11/1/2000,157,100
-25.3743,125.4813,11/1/2000,157,76
-25.376,125.4921,11/1/2000,157,74
-25.3837,125.4795,11/1/2000,157,51
-25.3854,125.4903,11/1/2000,157,56
-25.4034,125.5426,11/1/2000,157,82
-25.4111,125.53,11/1/2000,157,84
-25.4128,125.5408,11/1/2000,157,61
-25.4368,125.5962,11/1/2000,157,81
-25.4451,125.528,11/1/2000,157,84
-25.452,125.5711,11/1/2000,157,94
-25.4538,125.5818,11/1/2000,157,68
-25.4614,125.5693,11/1/2000,157,100
-25.4631,125.58,11/1/2000,157,58
-25.4688,125.1668,11/1/2000,157,49
-25.4706,125.1779,11/1/2000,157,49
-25.5031,125.3764,11/1/2000,157,71
-25.5049,125.3873,11/1/2000,157,52
-25.5085,125.409,11/1/2000,157,95
-25.5102,125.4199,11/1/2000,157,100
-25.512,125.4308,11/1/2000,157,100
-25.4765,125.1538,11/1/2000,157,96
-25.4783,125.1649,11/1/2000,157,99
-25.5108,125.3636,11/1/2000,157,77
-25.5125,125.3745,11/1/2000,157,100
-25.5143,125.3854,11/1/2000,157,92
-25.5179,125.4072,11/1/2000,157,87
-25.5196,125.4181,11/1/2000,157,28
-25.5232,125.4398,11/1/2000,157,85
-25.5249,125.4507,11/1/2000,157,91
-25.4842,125.1408,11/1/2000,157,94
-25.486,125.1519,11/1/2000,157,100
-25.4878,125.1631,11/1/2000,157,87
-25.5325,125.438,11/1/2000,157,100
-25.5343,125.4489,11/1/2000,157,95
-25.4918,125.1277,11/1/2000,157,81
-25.4937,125.1389,11/1/2000,157,100
-25.4955,125.15,11/1/2000,157,78
-25.5009,125.1834,11/1/2000,157,74
-25.5027,125.1945,11/1/2000,157,80
-25.5086,125.1704,11/1/2000,157,96
-25.5104,125.1816,11/1/2000,157,91
-25.5163,125.1574,11/1/2000,157,91
-25.5181,125.1686,11/1/2000,157,100
-25.5199,125.1797,11/1/2000,157,100
-25.9048,124.3978,11/1/2000,157,66
-26.5508,125.3382,11/1/2000,157,91
-26.5998,125.3673,11/1/2000,157,62
-27.2612,121.6272,11/1/2000,158,77
-27.3023,121.5298,11/1/2000,158,61
-27.3055,121.5467,11/1/2000,158,82
-27.3019,121.5406,11/1/2000,158,76
-27.0335,119.5713,11/1/2000,158,56
-27.0381,119.5943,11/1/2000,158,61
-27.0336,119.5895,11/1/2000,158,49
-27.042,119.5632,11/1/2000,158,18
-27.0467,119.5863,11/1/2000,158,75
-27.0504,119.5368,11/1/2000,158,24
-27.0589,119.5103,11/1/2000,158,87
-27.0636,119.5335,11/1/2000,158,100
-27.0682,119.5566,11/1/2000,158,82
-27.0767,119.5302,11/1/2000,158,45
-33.8248,121.1138,11/1/2000,159,69
-34.4552,150.867,11/1/2000,1223,72
-34.4559,150.8604,11/1/2000,1223,71
-24.3072,150.0775,11/1/2000,1226,80
-24.2723,149.9969,11/1/2000,1226,49
-24.3013,150.0701,11/1/2000,1226,63
-24.2366,150.1636,11/1/2000,1226,26
-21.6008,148.0728,11/1/2000,1227,77
